Bank,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,GrAppv,SBA_Appv
0.0,1271347200.0,1262275200.0,130.0,25.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1272643200.0,2000000.0,0.0,2000000.0,1500000.0
1.0,1264780800.0,1262275200.0,33.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1264953600.0,17000.0,0.0,17000.0,17000.0
2.0,1027872000.0,1009814400.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1030723200.0,17000.0,0.0,17000.0,8500.0
3.0,771177600.0,757353600.0,160.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,775584000.0,137000.0,0.0,137000.0,123300.0
4.0,1263484800.0,1262275200.0,106.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1264953600.0,75000.0,0.0,75000.0,67500.0
5.0,1169136000.0,1167580800.0,10.0,15.0,1.0,5.0,15.0,0.0,2.0,0.0,0.0,1170172800.0,100000.0,0.0,100000.0,50000.0
6.0,1162915200.0,1167580800.0,84.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1222704000.0,29262.0,0.0,25000.0,12500.0
7.0,1161619200.0,1167580800.0,84.0,11.0,2.0,3.0,11.0,0.0,1.0,0.0,0.0,1164816000.0,25000.0,0.0,25000.0,12500.0
2.0,1099843200.0,1104508800.0,50.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1104422400.0,25000.0,0.0,25000.0,12500.0
8.0,1304265600.0,1293811200.0,13.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1304265600.0,38317.0,0.0,25000.0,12500.0
9.0,826646400.0,820425600.0,120.0,325.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,838742400.0,100000.0,0.0,100000.0,80000.0
6.0,445449600.0,441734400.0,84.0,25.0,1.0,0.0,0.0,25035.0,0.0,0.0,0.0,447004800.0,90000.0,0.0,90000.0,81000.0
10.0,1078329600.0,1072886400.0,240.0,14.0,1.0,0.0,14.0,1.0,2.0,0.0,0.0,1087315200.0,459000.0,0.0,459000.0,459000.0
11.0,622828800.0,599587200.0,64.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,624729600.0,45000.0,0.0,45000.0,40500.0
7.0,1146672000.0,1136044800.0,54.0,5.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,1149004800.0,50000.0,0.0,50000.0,25000.0
2.0,1025107200.0,1009814400.0,84.0,5.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1028044800.0,15000.0,0.0,15000.0,7500.0
12.0,934905600.0,915120000.0,58.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,975513600.0,105318.0,0.0,40000.0,20000.0
13.0,1140624000.0,1136044800.0,62.0,2.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,1183132800.0,312869.0,0.0,319000.0,239250.0
6.0,899913600.0,883584000.0,84.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,941299200.0,100000.0,0.0,100000.0,80000.0
14.0,952531200.0,946656000.0,83.0,30.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,959702400.0,250000.0,0.0,250000.0,187500.0
15.0,1159891200.0,1167580800.0,65.0,35.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1164816000.0,465000.0,0.0,465000.0,348750.0
16.0,1254240000.0,1230739200.0,84.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1254326400.0,159000.0,0.0,159000.0,143100.0
17.0,871315200.0,852048000.0,60.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,875548800.0,30000.0,0.0,30000.0,24000.0
6.0,708019200.0,694195200.0,36.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,712512000.0,24000.0,0.0,24000.0,19200.0
18.0,1150214400.0,1136044800.0,30.0,4.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,1151596800.0,176553.0,0.0,40000.0,20000.0
7.0,1158076800.0,1136044800.0,61.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1162224000.0,50000.0,0.0,50000.0,25000.0
19.0,1156089600.0,1136044800.0,120.0,150.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1162224000.0,800000.0,0.0,800000.0,600000.0
20.0,637948800.0,631123200.0,180.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,641404800.0,60000.0,0.0,60000.0,54000.0
5.0,1107705600.0,1104508800.0,84.0,27.0,1.0,0.0,27.0,1.0,1.0,1.0,0.0,1112198400.0,65904.0,0.0,30000.0,15000.0
21.0,1285776000.0,1262275200.0,49.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1285862400.0,20000.0,0.0,20000.0,10000.0
22.0,593366400.0,599587200.0,60.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,767635200.0,70000.0,0.0,70000.0,63000.0
